what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1608197719066
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1608197719066
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1608197719071
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1608197719075
started,bundle,com.altera.sbtgui.integration,11.1.0.259,"com.altera.sbtgui.integration",1608197719077
started,bundle,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch",1608197719079
started,bundle,com.altera.sbtgui.project,11.1.0.259,"com.altera.sbtgui.project",1608197719081
started,bundle,com.altera.systemconsole,11.1.0.259,"com.altera.systemconsole",1608197719081
started,bundle,com.altera.utilities,11.1.0.259,"com.altera.utilities",1608197719081
os,sysinfo,,,"win32",1608197719085
arch,sysinfo,,,"x86",1608197719085
ws,sysinfo,,,"win32",1608197719085
locale,sysinfo,,,"fr_FR",1608197719085
processors,sysinfo,,,"8",1608197719085
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1608197719085
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1608197719085
java.specification.name,sysinfo,,,"Java Platform API Specification",1608197719085
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1608197719085
java.specification.version,sysinfo,,,"1.6",1608197719085
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1608197719085
java.version,sysinfo,,,"1.6.0_23",1608197719085
java.vm.info,sysinfo,,,"mixed mode",1608197719085
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1608197719085
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1608197719085
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1608197719085
java.vm.specification.version,sysinfo,,,"1.0",1608197719085
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1608197719085
java.vm.version,sysinfo,,,"19.0-b09",1608197719085
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608197721228
started,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1608197721506
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1608197721669
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1608197725444
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197725474
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197728130
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1608197738003
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1608197738090
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1608197738103
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197740184
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197744008
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1608197750636
started,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.259,"com.altera.debug.cdi.gdb.plugin",1608197756927
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197757256
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197774651
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1608197774702
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197790069
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197805291
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197822799
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197853993
started,bundle,com.altera.sbtgui.flash.plugin,11.1.0.259,"com.altera.sbtgui.flash.plugin",1608197860868
executed,command,com.altera.sbtgui.flash.plugin,11.1.0.259,"com.altera.sbtgui.flash.plugin.commands.flashCommand",1608197860869
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1608197861249
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197861312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197870022
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197875991
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197880973
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1608197881000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197886216
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197888901
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1608197888941
executed,command,com.altera.sbtgui.flash.plugin,11.1.0.259,"com.altera.sbtgui.flash.plugin.commands.flashCommand",1608197892041
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197892387
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197903690
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197909638
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197913520
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197921275
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608197934955
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1608197935053
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1608197939346
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1608197939350
opened,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608197941423
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1608197941856
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1608197941869
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608198669891
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608198671617
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1608198679909
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608198680178
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1608198680476
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.1.0.259,"com.altera.debug.cdi.gdb.plugin",1608198680476
stopped,bundle,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch",1608198681477
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1608198681477
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1608198681523
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1608198681525
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1608198681525
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1608198681529
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1608198681531
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1608198681531
stopped,bundle,com.altera.sbtgui.ui,11.1.0.259,"com.altera.sbtgui.ui",1608198681534
stopped,bundle,com.altera.sbtgui.project,11.1.0.259,"com.altera.sbtgui.project",1608198681534
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1608198681534
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1608198681534
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.traditional",1608198681537
stopped,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1608198681537
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1608198681537
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.ui",1608198681539
stopped,bundle,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.ui",1608198681539
stopped,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1608198681539
stopped,bundle,org.eclipse.cdt.managedbuilder.core,7.0.1.201009141542,"org.eclipse.cdt.managedbuilder.core",1608198681539
stopped,bundle,org.eclipse.cdt.make.core,7.0.0.201009141542,"org.eclipse.cdt.make.core",1608198681539
stopped,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1608198681539
stopped,bundle,com.altera.sbtgui.flash.plugin,11.1.0.259,"com.altera.sbtgui.flash.plugin",1608198681539
stopped,bundle,com.altera.sbtgui.gprof,11.1.0.259,"com.altera.sbtgui.gprof",1608198681542
stopped,bundle,com.altera.sbtgui.core,11.1.0.259,"com.altera.sbtgui.core",1608198681542
stopped,bundle,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui",1608198681542
stopped,bundle,org.eclipse.cdt.core,5.2.1.201009141542,"org.eclipse.cdt.core",1608198681542
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1608198681545
