what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608146656842
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608146658611
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608146683095
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1608146684455
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608146685117
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1608146685792
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1608146687548
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1608146726891
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1608146729252
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1608146752601
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608146755999
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608146757622
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608146758815
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608146762939
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1608146767196
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608146768055
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608146771552
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608146774305
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608146774613
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608146777956
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608146782358
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608146783790
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1608146784074
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608146785990
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1608146788059
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608146791692
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608146971233
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1608146995427
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608147006984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147009539
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147011995
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147016218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147017611
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1608147017896
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608147019793
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1608147021881
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608147025491
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147203146
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147266462
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608147266484
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1608147425150
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1608147430696
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1608147464363
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147482013
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147694618
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608147694633
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147697674
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147700075
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147709391
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147710755
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1608147711043
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608147712902
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1608147714972
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1608147718674
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1608147732738
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1608147769818
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1608147771839
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1608147789641
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1608147790378
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1608147791821
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1608147872420
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1608147874055
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1608147891470
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1608147892865
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147899734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147901267
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1608147901553
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147902986
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1608147904967
